216,191,332,258,978,9,10,0
216,191,332,258,971,16,10,0
216,191,332,258,961,26,10,0
216,191,332,258,947,40,10,0
216,191,332,258,938,49,10,0
216,191,332,258,933,54,10,0
216,191,332,258,929,58,10,0
216,191,332,258,936,59,2,0
216,191,332,258,933,61,3,0
216,191,332,258,928,63,6,0
216,191,332,258,919,68,10,0
216,191,332,258,905,79,13,0
216,191,332,258,891,90,16,0
216,191,332,258,870,108,19,0
216,191,332,258,849,124,24,0
216,191,332,258,823,142,32,0
216,191,332,258,801,162,34,0
216,191,332,258,777,185,35,0
216,191,332,258,754,204,39,0
216,191,332,257,728,228,40,1
216,191,332,257,694,252,50,1
216,191,332,257,658,278,60,1
216,191,332,256,605,313,77,2
216,191,332,256,563,350,82,2
216,191,332,256,515,386,94,2
216,191,332,256,472,408,115,2
216,191,332,256,436,434,125,2
216,191,332,256,391,458,146,2
216,191,332,256,355,484,156,2
216,191,332,256,331,498,166,2
216,191,332,256,313,505,177,2
216,191,332,256,288,507,200,2
216,191,332,256,263,513,219,2
216,191,332,256,249,510,236,2
216,191,332,256,236,497,262,2
216,191,332,256,216,496,283,2
216,191,332,256,204,488,303,2
216,191,332,255,188,497,309,3
216,191,332,253,186,491,315,5
216,191,331,252,179,484,327,7
216,191,331,250,171,482,335,9
216,191,331,250,174,479,335,9
216,191,331,250,165,502,321,9
216,191,331,249,170,509,308,10
216,191,331,249,172,507,308,10
216,191,331,249,156,515,316,10
216,191,331,248,153,512,321,11
216,191,331,248,167,502,317,11
216,191,331,246,163,504,317,13
216,191,331,243,157,511,313,16
216,191,331,241,155,501,323,18
216,191,331,241,144,498,337,18
216,191,331,241,147,504,328,18
216,191,331,241,144,495,340,18
216,191,331,238,146,504,326,21
216,191,331,235,132,525,316,24
216,191,331,232,131,520,319,27
216,191,331,231,123,527,319,28
216,191,331,231,129,531,309,28
216,191,331,229,134,531,302,30
216,191,330,229,124,531,311,31
216,191,330,227,130,542,292,33
216,191,330,225,123,534,305,35
216,191,330,221,113,519,326,39
216,191,330,219,121,487,348,41
216,191,330,218,114,498,343,42
216,191,330,216,111,493,349,44
216,191,329,213,111,502,336,48
216,191,329,211,113,506,328,50
216,191,329,208,104,501,339,53
216,191,329,207,105,506,332,54
216,191,329,204,117,508,315,57
216,191,329,197,143,496,294,64
216,191,329,197,136,483,314,64
216,191,329,196,116,492,324,65
216,191,329,196,104,496,332,65
216,191,329,196,97,487,348,65
216,191,329,196,110,483,339,65
216,191,329,195,109,483,339,66
216,191,329,194,106,482,342,67
216,191,329,192,117,486,325,69
216,191,329,191,118,491,318,70
216,191,329,191,128,486,313,70
216,191,329,190,125,485,316,71
216,191,329,186,123,492,307,75
216,191,329,185,117,494,310,76
216,191,329,185,118,486,317,76
216,191,329,183,111,493,315,78
216,191,329,183,110,487,322,78
216,191,329,181,114,489,314,80
216,191,329,181,117,495,305,80
216,191,329,181,101,509,307,80
216,191,329,180,106,501,309,81
216,191,329,180,98,500,318,81
216,191,329,180,116,502,298,81
216,191,329,178,111,487,316,83
216,191,329,178,111,490,313,83
216,191,329,176,117,480,315,85
216,191,329,174,106,486,318,87
216,191,329,173,108,489,312,88
216,191,329,171,104,489,314,90
