325,287,498,388,1475,13,10,0,0
325,287,498,387,1462,26,9,1,0
325,287,498,387,1444,44,9,1,0
325,287,498,386,1426,62,8,2,0
325,287,498,386,1416,72,8,2,0
325,287,498,385,1402,85,8,3,0
325,287,498,385,1375,108,12,3,0
325,287,498,385,1358,119,11,3,7
325,287,498,385,1325,146,17,3,7
325,287,498,385,1290,172,26,3,7
325,287,498,385,1249,210,29,3,7
325,287,498,385,1207,245,36,3,7
325,287,498,385,1148,295,45,3,7
325,287,498,384,1087,343,56,4,8
325,287,498,383,1000,406,76,5,11
325,287,498,383,905,471,100,5,17
325,287,498,383,801,550,119,5,23
325,287,498,382,709,612,140,6,31
325,287,497,381,629,658,170,8,33
325,287,497,381,561,684,204,8,41
325,287,497,381,502,699,239,8,50
325,287,497,380,451,681,294,9,63
325,287,496,380,418,669,314,10,87
325,287,495,380,396,622,352,11,117
325,287,493,379,381,577,387,14,139
325,287,492,379,371,520,424,15,168
325,287,492,378,365,462,454,16,201
325,287,491,378,364,400,476,17,241
325,287,491,377,361,347,489,18,283
325,287,490,376,360,301,466,20,351
325,287,489,376,360,263,458,21,396
325,287,488,376,360,223,428,22,465
325,287,487,376,359,197,396,23,523
325,287,485,375,357,166,361,26,588
325,286,485,375,355,147,320,27,649
325,286,484,375,354,125,281,28,710
325,286,484,373,353,110,240,30,765
325,286,484,371,349,98,208,32,811
325,286,484,371,343,85,192,32,846
325,286,484,369,341,72,166,34,885
325,286,484,368,337,68,145,35,913
325,286,484,368,335,59,124,35,945
325,286,484,364,333,49,112,39,965
325,286,484,364,331,46,97,39,985
325,286,483,362,329,42,86,42,999
325,286,483,360,329,38,72,44,1015
325,286,483,359,328,32,61,45,1032
325,286,483,359,324,26,57,45,1046
325,286,483,356,321,28,49,48,1052
325,286,483,355,318,29,42,49,1060
325,286,483,354,313,29,35,50,1071
